US News Rank,School,Peer Assessment,Recruiter Assessment,Undergrad GPA,GMAT,2015 Full-Time Acceptance %,2015 Avg Starting Salary,2015 % Employed,% Employed 3 months After grad,USN Score
1,Harvard University,4.8,4.6,3.66,725,10.70%,"$149,784 ",81.00%,91.10%,100
2,Stanford University,4.8,4.5,3.75,733,6.10%,"$145,173 ",71.70%,86.20%,98
2,University of Chicago (Booth),4.7,4.5,3.59,726,24.40%,"$143,475 ",86.50%,95.00%,98
4,University of Pennsylvania (Wharton),4.7,4.5,3.6,732,19.80%,"$146,761 ",80.80%,93.60%,97
5,Massachusetts Institute of Technology (Sloan),4.7,4.5,3.54,716,14.60%,"$146,201 ",86.10%,92.40%,96
5,Northwestern University (Kellogg),4.6,4.5,3.6,724,20.60%,"$140,107 ",86.30%,93.80%,96
7,University of California - Berkeley (Haas),4.6,4.3,3.66,725,13.00%,"$143,485 ",72.00%,93.80%,94
8,Dartmouth College (Tuck),4.3,4.3,3.52,717,22.60%,"$148,025 ",83.30%,95.10%,90
8,Yale University,4.3,4.3,3.6,721,20.70%,"$139,310 ",76.60%,92.20%,90
10,Columbia University,4.4,4.1,3.5,715,18.00%,"$146,436 ",76.70%,92.50%,89
11,University of Virginia (Darden),4.1,4,3.53,706,27.80%,"$146,136 ",88.90%,95.30%,87
12,Duke University (Fuqua),4.3,4.1,3.4,696,23.10%,"$143,382 ",85.40%,94.40%,86
12,University of Michigan - Ann Arbor (Ross),4.4,4.1,3.36,708,28.30%,"$143,195 ",86.30%,92.10%,86
14,Cornell University (Johnson),4.1,4.1,3.35,697,32.40%,"$144,813 ",79.50%,88.20%,80
15,University of California - Los Angeles (Anderson),4.1,3.9,3.48,713,19.80%,"$132,827 ",72.30%,87.10%,79
16,University of North Carolina - Chapel Hill (Kenan-Flagler),3.9,3.7,3.41,701,33.80%,"$129,016 ",81.70%,94.30%,76
16,University of Texas - Austin (McCombs),3.9,4.1,3.4,694,29.70%,"$133,647 ",74.10%,87.00%,76
18,Carnegie Mellon University (Tepper),4,3.8,3.33,690,30.60%,"$135,548 ",82.10%,89.50%,75
19,Emory University (Goizueta),3.7,3.8,3.35,678,30.10%,"$132,779 ",78.50%,94.40%,73
20,New York University (Stern),4.2,4,3.51,720,20.00%,"$137,534 ",78.80%,89.00%,72
21,Washington University in St. Louis (Olin),3.6,3.6,3.4,695,30.10%,"$112,957 ",79.60%,97.10%,71
22,Georgetown University (McDonough),3.6,3.8,3.36,692,43.30%,"$130,659 ",72.70%,85.90%,69
22,Indiana University (Kelley),3.8,3.6,3.36,668,29.20%,"$123,855 ",77.00%,89.10%,69
22,Vanderbilt University (Owen),3.5,3.6,3.36,690,42.10%,"$126,959 ",80.90%,91.90%,69
25,Rice University (Jones),3.4,3.5,3.3,676,27.20%,"$129,954 ",82.30%,90.60%,66
25,University of Notre Dame (Mendoza),3.5,3.5,3.31,682,40.50%,"$125,227 ",76.40%,92.70%,66
27,Ohio State University (Fisher),3.5,3.4,3.46,664,34.10%,"$110,358 ",72.30%,95.70%,65
27,University of Minnesota - Twin Cities (Carlson),3.5,3.4,3.41,680,39.10%,"$120,000 ",75.30%,89.20%,65
27,University of Washington (Foster),3.4,3.2,3.35,688,25.60%,"$118,405 ",80.10%,95.60%,65
27,University of Wisconsin - Madison,3.6,3.4,3.38,669,20.00%,"$114,815 ",76.80%,89.50%,65
31,Brigham Young University (Marriott),3,3.5,3.54,674,48.10%,"$120,853 ",84.30%,91.80%,64
31,Texas A&M University - College Station (Mays),3.3,3.5,3.5,654,23.50%,"$110,625 ",75.00%,93.80%,64
31,University of Southern California (Marshall),3.8,3.6,3.31,679,28.90%,"$120,207 ",60.80%,80.70%,64
34,Georgia Institute of Technology (Scheller),3.2,3.6,3.18,678,25.20%,"$118,233 ",83.90%,96.40%,63
35,Arizona State University (Carey),3.4,3.4,3.37,672,31.40%,"$113,243 ",71.20%,90.90%,62
35,Michigan State University (Broad),3.3,3.4,3.34,664,30.70%,"$117,326 ",85.90%,90.60%,62
37,University of Florida (Hough),3.3,2.7,3.46,681,15.80%,"$109,171 ",85.10%,95.70%,61
37,University of Texas - Dallas,2.9,4.2,3.47,678,21.90%,"$86,285 ",58.10%,93.00%,61
39,University of Illinois - Urbana-Champaign,3.4,3.3,3.38,654,32.10%,"$99,495 ",80.90%,94.10%,60
39,University of Rochester (Simon),3.2,3,3.4,667,32.80%,"$112,512 ",77.70%,95.70%,60
41,Boston University (Questrom),3.1,3,3.33,682,35.70%,"$109,358 ",76.30%,93.00%,57
41,Pennsylvania State University - University Park (Smeal),3.2,3.5,3.37,636,17.10%,"$114,035 ",71.20%,86.40%,57
41,Temple University (Fox),2.9,3.5,3.59,632,40.30%,"$83,800 ",76.90%,97.40%,57
41,University of Maryland - College Park (Smith),3.4,3.4,3.35,658,30.80%,"$108,031 ",63.50%,82.40%,57
45,University of California - Davis,3.2,3.2,3.26,683,17.80%,"$112,202 ",51.40%,94.30%,56
45,University of Iowa (Tippie),3.1,3,3.27,670,40.70%,"$102,619 ",79.20%,97.90%,56
47,Purdue University - West Lafayette (Krannert),3.4,3.4,3.38,635,26.00%,"$103,386 ",66.20%,80.90%,55
48,Southern Methodist University (Cox),3.1,3.2,3.4,656,35.90%,"$111,355 ",66.70%,82.40%,54
48,University of California - Irvine (Merage),3.1,3.4,3.36,656,25.20%,"$94,765 ",60.90%,89.10%,54
50,Boston College (Carroll),3.2,3.2,3.26,664,38.30%,"$102,206 ",71.30%,87.50%,53
51,George Washington University,3.1,3.3,3.24,642,42.70%,"$107,628 ",61.60%,93.20%,52
52,North Carolina State University (Jenkins),2.6,3.3,3.57,639,38.40%,"$85,968 ",77.80%,91.70%,53
53,"Rutgers, The State University of New Jersey",2.8,3,3.33,642,42.50%,"$99,772 ",72.90%,98.30%,50
53,University of Alabama (Manderson),2.7,3.4,3.59,679,58.30%,"$70,340 ",62.10%,84.50%,50
55,University of Georgia (Terry),3.2,3.1,3.43,643,30.90%,"$90,978 ",68.60%,80.00%,49
55,University of Pittsburgh (Katz),3.2,3.3,3.27,607,22.20%,"$94,404 ",69.60%,87.50%,49
57,Baylor University (Hankamer),2.7,3,3.32,634,36.10%,"$83,411 ",87.00%,95.70%,48
57,Northeastern University,2.8,3.3,3.29,644,22.50%,"$84,047 ",64.30%,95.20%,48
59,University of Missouri (Trulaske),2.7,3.2,3.5,648,40.70%,"$63,045 ",65.50%,90.90%,47
60,Babson College (Olin),3.2,3.3,3.2,628,55.90%,"$85,959 ",52.80%,85.90%,46
60,University of Arizona (Eller),3.3,2.9,3.3,654,38.80%,"$86,009 ",46.20%,84.60%,46
62,Louisiana State University - Baton Rouge (Ourso),2.7,2.8,3.35,626,41.60%,"$67,100 ",90.50%,97.60%,45
63,Texas Christian University (Neely),2.7,3.1,3.26,642,54.50%,"$92,981 ",70.50%,88.60%,44
63,University of Arkansas - Fayetteville (Walton),3,2.5,3.58,630,64.40%,"$67,214 ",71.90%,87.50%,44
63,University of Cincinnati (Lindner),2.6,3,3.59,651,53.20%,"$64,538 ",52.90%,88.20%,44
63,University of Oklahoma (Price),2.8,2.8,3.38,628,55.00%,"$86,835 ",69.00%,89.70%,44
63,University of Tennessee - Knoxville (Haslam),2.8,3.4,3.42,616,50.50%,"$84,571 ",63.40%,77.50%,44
68,Tulane University (Freeman),3,2.9,3.25,664,78.30%,"$93,908 ",58.60%,79.30%,43
68,University of Connecticut,2.8,2.9,3.43,625,41.80%,"$95,809 ",62.50%,79.20%,43
68,University of Miami,2.8,2.6,3.26,643,22.70%,"$86,847 ",74.20%,93.50%,43
71,Case Western Reserve University (Weatherhead),3.2,3,3.23,642,60.00%,"$83,516 ",50.00%,82.50%,42
71,College of William and Mary (Mason),2.9,3.4,3.2,608,59.80%,"$85,875 ",60.00%,86.00%,42
71,Iowa State University,2.5,3,3.48,613,54.50%,"$68,947 ",83.30%,91.70%,42
71,University of South Carolina (Moore),2.9,2.9,3.23,669,52.70%,"$93,999 ",52.90%,76.50%,42
